,probability,cost,solution,count
220,0.00048828125,5.0,"[1, 1, 0, 0, 0, 1, 1, 1]",1
8,0.01318359375,6.0,"[1, 1, 0, 0, 0, 1, 0, 1]",27
183,0.0009765625,6.0,"[1, 0, 1, 1, 0, 1, 1, 1]",2
205,0.00048828125,6.0,"[1, 1, 1, 1, 0, 1, 0, 1]",1
215,0.00048828125,6.0,"[0, 1, 1, 1, 0, 1, 1, 1]",1
185,0.0009765625,6.0,"[1, 0, 1, 1, 1, 1, 1, 0]",2
156,0.001953125,6.0,"[1, 1, 0, 1, 1, 0, 1, 1]",4
137,0.00244140625,7.0,"[0, 1, 1, 1, 0, 1, 0, 1]",5
52,0.00634765625,7.0,"[1, 1, 0, 0, 1, 0, 1, 1]",13
150,0.001953125,7.0,"[1, 0, 0, 1, 0, 1, 1, 1]",4
55,0.00634765625,7.0,"[1, 1, 1, 0, 0, 1, 0, 1]",13
138,0.00244140625,7.0,"[1, 0, 1, 1, 1, 1, 1, 1]",5
87,0.00439453125,7.0,"[1, 1, 0, 1, 1, 0, 0, 1]",9
139,0.00244140625,7.0,"[1, 0, 1, 1, 0, 1, 1, 0]",5
144,0.00244140625,7.0,"[0, 1, 1, 0, 0, 1, 1, 1]",5
34,0.00830078125,7.0,"[1, 0, 1, 1, 1, 0, 1, 0]",17
200,0.00048828125,7.0,"[1, 1, 1, 1, 1, 1, 0, 1]",1
153,0.001953125,7.0,"[0, 0, 1, 1, 0, 1, 1, 1]",4
108,0.00390625,7.0,"[1, 1, 1, 1, 0, 1, 1, 1]",8
14,0.01123046875,7.0,"[1, 1, 0, 0, 1, 1, 0, 1]",23
163,0.00146484375,7.0,"[0, 1, 1, 1, 1, 1, 1, 1]",3
224,0.00048828125,7.0,"[1, 1, 0, 1, 1, 1, 1, 1]",1
129,0.0029296875,7.0,"[1, 0, 0, 1, 1, 0, 1, 1]",6
162,0.00146484375,7.0,"[1, 1, 1, 0, 1, 1, 1, 1]",3
189,0.0009765625,7.0,"[1, 1, 1, 1, 1, 0, 1, 1]",2
160,0.00146484375,7.0,"[1, 0, 1, 1, 0, 0, 1, 1]",3
161,0.00146484375,7.0,"[1, 1, 0, 1, 0, 0, 1, 1]",3
62,0.005859375,8.0,"[1, 1, 0, 1, 1, 1, 1, 0]",12
41,0.00732421875,8.0,"[1, 0, 0, 1, 0, 0, 1, 1]",15
71,0.00537109375,8.0,"[0, 1, 0, 1, 0, 1, 0, 1]",11
216,0.00048828125,8.0,"[0, 1, 1, 1, 1, 1, 0, 1]",1
100,0.00390625,8.0,"[0, 1, 0, 1, 1, 1, 1, 1]",8
58,0.00634765625,8.0,"[1, 1, 1, 1, 0, 0, 1, 1]",13
125,0.0029296875,8.0,"[1, 0, 0, 1, 1, 1, 1, 1]",6
51,0.00634765625,8.0,"[1, 1, 0, 0, 0, 0, 1, 1]",13
193,0.00048828125,8.0,"[0, 1, 1, 1, 1, 0, 1, 1]",1
54,0.00634765625,8.0,"[1, 0, 0, 1, 0, 1, 0, 1]",13
214,0.00048828125,8.0,"[1, 1, 1, 0, 1, 1, 1, 0]",1
167,0.00146484375,8.0,"[1, 0, 1, 1, 1, 1, 0, 1]",3
36,0.0078125,8.0,"[0, 1, 0, 0, 0, 1, 1, 1]",16
